file,symbol_type,symbol_name,line
options-bot/risk/risk_manager.py,FunctionDef,get_day_trade_count,76
options-bot/risk/risk_manager.py,FunctionDef,get_open_position_count,147
options-bot/risk/risk_manager.py,FunctionDef,get_portfolio_greeks,609
options-bot/risk/risk_manager.py,FunctionDef,log_trade_close,560
options-bot/risk/risk_manager.py,FunctionDef,log_trade_open,509
options-bot/scripts/audit_verify.py,FunctionDef,check,20
options-bot/scripts/audit_verify.py,FunctionDef,section,35
options-bot/scripts/backtest.py,FunctionDef,_setup_logging,39
options-bot/scripts/backtest.py,FunctionDef,main,253
options-bot/scripts/backtest.py,FunctionDef,run_backtest,63
options-bot/scripts/startup_check.py,FunctionDef,check,46
options-bot/scripts/startup_check.py,FunctionDef,section,62
options-bot/scripts/train_model.py,AsyncFunctionDef,_load,42
options-bot/scripts/train_model.py,FunctionDef,get_profile_config,37
options-bot/scripts/train_model.py,FunctionDef,main,62
options-bot/scripts/validate_data.py,FunctionDef,main,649
options-bot/scripts/validate_data.py,FunctionDef,print_summary,602
options-bot/scripts/validate_data.py,FunctionDef,record,51
options-bot/scripts/validate_data.py,FunctionDef,test_alpaca_connection,62
options-bot/scripts/validate_data.py,FunctionDef,test_alpaca_options,201
options-bot/scripts/validate_data.py,FunctionDef,test_alpaca_stock_bars,111
options-bot/scripts/validate_data.py,FunctionDef,test_theta_connection,252
options-bot/scripts/validate_data.py,FunctionDef,test_theta_greeks,493
options-bot/scripts/validate_data.py,FunctionDef,test_theta_historical_options,341
options-bot/scripts/validate_model.py,AsyncFunctionDef,_query,186
options-bot/scripts/validate_model.py,FunctionDef,_validate_features,112
options-bot/scripts/validate_model.py,FunctionDef,get_expected_features,38
options-bot/scripts/validate_model.py,FunctionDef,validate_all_from_db,180
options-bot/scripts/validate_model.py,FunctionDef,validate_ensemble,90
options-bot/scripts/validate_model.py,FunctionDef,validate_tft,68
options-bot/scripts/validate_model.py,FunctionDef,validate_xgboost,49
options-bot/scripts/walk_forward_backtest.py,FunctionDef,_backtest_window,204
options-bot/scripts/walk_forward_backtest.py,FunctionDef,_print_summary,244
options-bot/scripts/walk_forward_backtest.py,FunctionDef,_save_results_csv,271
options-bot/scripts/walk_forward_backtest.py,FunctionDef,_train_window,172
options-bot/scripts/walk_forward_backtest.py,FunctionDef,main,291
options-bot/scripts/walk_forward_backtest.py,FunctionDef,run_walk_forward,51
options-bot/strategies/base_strategy.py,ClassDef,BaseOptionsStrategy,67
options-bot/strategies/base_strategy.py,FunctionDef,_check_entries,1179
options-bot/strategies/base_strategy.py,FunctionDef,_check_exits,568
options-bot/strategies/base_strategy.py,FunctionDef,_compute_rolling_accuracy,2245
options-bot/strategies/base_strategy.py,FunctionDef,_detect_model_type,276
options-bot/strategies/base_strategy.py,FunctionDef,_execute_exit,915
options-bot/strategies/base_strategy.py,FunctionDef,_export_circuit_state,531
options-bot/strategies/base_strategy.py,FunctionDef,_get_classifier_avg_move,264
options-bot/strategies/base_strategy.py,FunctionDef,_get_latest_features_for_override,823
options-bot/strategies/base_strategy.py,FunctionDef,_normalize_sleeptime,88
options-bot/strategies/base_strategy.py,FunctionDef,_persist_health_to_db,2292
options-bot/strategies/base_strategy.py,FunctionDef,_record_prediction,2172
options-bot/strategies/base_strategy.py,FunctionDef,_recover_open_trades,1094
options-bot/strategies/base_strategy.py,FunctionDef,_update_prediction_outcomes,2198
options-bot/strategies/base_strategy.py,FunctionDef,_write_signal_log,1046
options-bot/strategies/base_strategy.py,FunctionDef,after_market_closes,2165
options-bot/strategies/base_strategy.py,FunctionDef,before_market_opens,2161
options-bot/strategies/base_strategy.py,FunctionDef,initialize,116
options-bot/strategies/base_strategy.py,FunctionDef,on_bot_crash,2157
options-bot/strategies/base_strategy.py,FunctionDef,on_canceled_order,2153
options-bot/strategies/base_strategy.py,FunctionDef,on_filled_order,2147
options-bot/strategies/base_strategy.py,FunctionDef,on_trading_iteration,305
options-bot/strategies/base_strategy.py,FunctionDef,send_update_to_cloud,83
options-bot/strategies/base_strategy.py,FunctionDef,trace_stats,2327
options-bot/strategies/general_strategy.py,ClassDef,GeneralStrategy,28
options-bot/strategies/scalp_strategy.py,ClassDef,ScalpStrategy,37
options-bot/strategies/swing_strategy.py,ClassDef,SwingStrategy,27
options-bot/utils/alerter.py,FunctionDef,_send,68
